row,date,attributes,values,brand
381,2021-03-26,bw_negative,7518,Nike
382,2021-03-25,bw_negative,11564,Nike
383,2021-03-24,bw_negative,5863,Nike
384,2021-03-23,bw_negative,3677,Nike
385,2021-03-22,bw_negative,13382,Nike
386,2021-03-21,bw_negative,1797,Nike
387,2021-03-20,bw_negative,1900,Nike
388,2021-03-19,bw_negative,2533,Nike
389,2021-03-18,bw_negative,2696,Nike
390,2021-03-17,bw_negative,2942,Nike
391,2021-03-16,bw_negative,11216,Nike
392,2021-03-15,bw_negative,3248,Nike
393,2021-03-14,bw_negative,1511,Nike
394,2021-03-13,bw_negative,1879,Nike
395,2021-03-12,bw_negative,1940,Nike
396,2021-03-11,bw_negative,1818,Nike
397,2021-03-10,bw_negative,3248,Nike
398,2021-03-09,bw_negative,2390,Nike
399,2021-03-08,bw_negative,1920,Nike
400,2021-03-07,bw_negative,2043,Nike
401,2021-03-06,bw_negative,2696,Nike
402,2021-03-05,bw_negative,2206,Nike
403,2021-03-04,bw_negative,2839,Nike
404,2021-03-03,bw_negative,3493,Nike
405,2021-03-02,bw_negative,23782,Nike
406,2021-03-01,bw_negative,15425,Nike
407,2021-02-28,bw_negative,1900,Nike
408,2021-02-27,bw_negative,1675,Nike
409,2021-02-26,bw_negative,1348,Nike
410,2021-02-25,bw_negative,2002,Nike
411,2021-02-24,bw_negative,2288,Nike
412,2021-02-23,bw_negative,2247,Nike
413,2021-02-22,bw_negative,1900,Nike
414,2021-02-21,bw_negative,1573,Nike
415,2021-02-20,bw_negative,1777,Nike
416,2021-02-19,bw_negative,1716,Nike
417,2021-02-18,bw_negative,1675,Nike
418,2021-02-17,bw_negative,1511,Nike
419,2021-02-16,bw_negative,1675,Nike
420,2021-02-15,bw_negative,1573,Nike
421,2021-02-14,bw_negative,2165,Nike
422,2021-02-13,bw_negative,1328,Nike
423,2021-02-12,bw_negative,1389,Nike
424,2021-02-11,bw_negative,1552,Nike
425,2021-02-10,bw_negative,2022,Nike
426,2021-02-09,bw_negative,1900,Nike
427,2021-02-08,bw_negative,3820,Nike
428,2021-02-07,bw_negative,1614,Nike
429,2021-02-06,bw_negative,2431,Nike
430,2021-02-05,bw_negative,2288,Nike
431,2021-02-04,bw_negative,2615,Nike
432,2021-02-03,bw_negative,3493,Nike
433,2021-02-02,bw_negative,19798,Nike
434,2021-02-01,bw_negative,25335,Nike
435,2021-01-31,bw_negative,1185,Nike
436,2021-01-30,bw_negative,2472,Nike
437,2021-01-29,bw_negative,2758,Nike
438,2021-01-28,bw_negative,3126,Nike
439,2021-01-27,bw_negative,2124,Nike
440,2021-01-26,bw_negative,1042,Nike
441,2021-01-25,bw_negative,1695,Nike
442,2021-01-24,bw_negative,1614,Nike
443,2021-01-23,bw_negative,1552,Nike
444,2021-01-22,bw_negative,2165,Nike
445,2021-01-21,bw_negative,1552,Nike
446,2021-01-20,bw_negative,1246,Nike
447,2021-01-19,bw_negative,2901,Nike
448,2021-01-18,bw_negative,1797,Nike
449,2021-01-17,bw_negative,1266,Nike
450,2021-01-16,bw_negative,1246,Nike
451,2021-01-15,bw_negative,1818,Nike
452,2021-01-14,bw_negative,5843,Nike
453,2021-01-13,bw_negative,28890,Nike
454,2021-01-12,bw_negative,2799,Nike
455,2021-01-11,bw_negative,1634,Nike
456,2021-01-10,bw_negative,1818,Nike
457,2021-01-09,bw_negative,2329,Nike
458,2021-01-08,bw_negative,2451,Nike
459,2021-01-07,bw_negative,2349,Nike
460,2021-01-06,bw_negative,2104,Nike
461,2021-01-05,bw_negative,1797,Nike
462,2021-01-04,bw_negative,2410,Nike
463,2021-01-03,bw_negative,1614,Nike
464,2021-01-02,bw_negative,1185,Nike
465,2021-01-01,bw_negative,1144,Nike
466,2020-12-31,bw_negative,5557,Nike
467,2020-12-30,bw_negative,2063,Nike
468,2020-12-29,bw_negative,5639,Nike
469,2020-12-28,bw_negative,1307,Nike
470,2020-12-27,bw_negative,1430,Nike
471,2020-12-26,bw_negative,1491,Nike
472,2020-12-25,bw_negative,1144,Nike
473,2020-12-24,bw_negative,1797,Nike
474,2020-12-23,bw_negative,1532,Nike
475,2020-12-22,bw_negative,2329,Nike
476,2020-12-21,bw_negative,1532,Nike
477,2020-12-20,bw_negative,1042,Nike
478,2020-12-19,bw_negative,1593,Nike
479,2020-12-18,bw_negative,1491,Nike
480,2020-12-17,bw_negative,1675,Nike
481,2020-12-16,bw_negative,1430,Nike
482,2020-12-15,bw_negative,1675,Nike
483,2020-12-14,bw_negative,1532,Nike
484,2020-12-13,bw_negative,1205,Nike
485,2020-12-12,bw_negative,1185,Nike
486,2020-12-11,bw_negative,1777,Nike
487,2020-12-10,bw_negative,2022,Nike
488,2020-12-09,bw_negative,1797,Nike
489,2020-12-08,bw_negative,1777,Nike
490,2020-12-07,bw_negative,1532,Nike
491,2020-12-06,bw_negative,1511,Nike
492,2020-12-05,bw_negative,1961,Nike
493,2020-12-04,bw_negative,2451,Nike
494,2020-12-03,bw_negative,4188,Nike
495,2020-12-02,bw_negative,5148,Nike
496,2020-12-01,bw_negative,4576,Nike
497,2020-11-30,bw_negative,10154,Nike
498,2020-11-29,bw_negative,3841,Nike
499,2020-11-28,bw_negative,1491,Nike
500,2020-11-27,bw_negative,2104,Nike
501,2020-11-26,bw_negative,2656,Nike
502,2020-11-25,bw_negative,2002,Nike
503,2020-11-24,bw_negative,1818,Nike
504,2020-11-23,bw_negative,1450,Nike
505,2020-11-22,bw_negative,1205,Nike
506,2020-11-21,bw_negative,1307,Nike
507,2020-11-20,bw_negative,1634,Nike
508,2020-11-19,bw_negative,1940,Nike
509,2020-11-18,bw_negative,1471,Nike
510,2020-11-17,bw_negative,1614,Nike
511,2020-11-16,bw_negative,2186,Nike
512,2020-11-15,bw_negative,2410,Nike
513,2020-11-14,bw_negative,1593,Nike
514,2020-11-13,bw_negative,2431,Nike
515,2020-11-12,bw_negative,1961,Nike
516,2020-11-11,bw_negative,2227,Nike
517,2020-11-10,bw_negative,1818,Nike
518,2020-11-09,bw_negative,1430,Nike
519,2020-11-08,bw_negative,1082,Nike
520,2020-11-07,bw_negative,1225,Nike
521,2020-11-06,bw_negative,1511,Nike
522,2020-11-05,bw_negative,1736,Nike
523,2020-11-04,bw_negative,1491,Nike
524,2020-11-03,bw_negative,1634,Nike
525,2020-11-02,bw_negative,1573,Nike
526,2020-11-01,bw_negative,1205,Nike
527,2020-10-31,bw_negative,1981,Nike
528,2020-10-30,bw_negative,1695,Nike
529,2020-10-29,bw_negative,2533,Nike
530,2020-10-28,bw_negative,1961,Nike
531,2020-10-27,bw_negative,2043,Nike
532,2020-10-26,bw_negative,1614,Nike
533,2020-10-25,bw_negative,980,Nike
534,2020-10-24,bw_negative,1348,Nike
535,2020-10-23,bw_negative,2002,Nike
536,2020-10-22,bw_negative,2206,Nike
537,2020-10-21,bw_negative,1552,Nike
538,2020-10-20,bw_negative,4740,Nike
539,2020-10-19,bw_negative,28175,Nike
540,2020-10-18,bw_negative,1307,Nike
541,2020-10-17,bw_negative,1225,Nike
542,2020-10-16,bw_negative,1940,Nike
543,2020-10-15,bw_negative,3636,Nike
544,2020-10-14,bw_negative,2002,Nike
545,2020-10-13,bw_negative,1940,Nike
546,2021-04-12,bw_volume,10868,Nike
547,2021-04-11,bw_volume,7150,Nike
548,2021-04-10,bw_volume,13014,Nike
549,2021-04-09,bw_volume,8948,Nike
550,2021-04-08,bw_volume,11072,Nike
551,2021-04-07,bw_volume,17141,Nike
552,2021-04-06,bw_volume,21881,Nike
553,2021-04-05,bw_volume,18858,Nike
554,2021-04-04,bw_volume,20615,Nike
555,2021-04-03,bw_volume,24701,Nike
556,2021-04-02,bw_volume,33323,Nike
557,2021-04-01,bw_volume,10848,Nike
558,2021-03-31,bw_volume,10255,Nike
559,2021-03-30,bw_volume,22596,Nike
560,2021-03-29,bw_volume,42619,Nike
561,2021-03-28,bw_volume,45786,Nike
562,2021-03-27,bw_volume,18858,Nike
563,2021-03-26,bw_volume,14199,Nike
564,2021-03-25,bw_volume,17570,Nike
565,2021-03-24,bw_volume,9642,Nike
566,2021-03-23,bw_volume,7456,Nike
567,2021-03-22,bw_volume,17672,Nike
568,2021-03-21,bw_volume,9295,Nike
569,2021-03-20,bw_volume,5414,Nike
570,2021-03-19,bw_volume,6292,Nike
571,2021-03-18,bw_volume,6373,Nike
572,2021-03-17,bw_volume,7906,Nike
573,2021-03-16,bw_volume,17079,Nike
574,2021-03-15,bw_volume,8274,Nike
575,2021-03-14,bw_volume,6046,Nike
576,2021-03-13,bw_volume,5944,Nike
577,2021-03-12,bw_volume,5883,Nike
578,2021-03-11,bw_volume,7048,Nike
579,2021-03-10,bw_volume,7804,Nike
580,2021-03-09,bw_volume,5842,Nike
581,2021-03-08,bw_volume,5434,Nike
582,2021-03-07,bw_volume,5536,Nike
583,2021-03-06,bw_volume,7538,Nike
584,2021-03-05,bw_volume,6271,Nike
585,2021-03-04,bw_volume,13095,Nike
586,2021-03-03,bw_volume,7048,Nike
587,2021-03-02,bw_volume,30177,Nike
588,2021-03-01,bw_volume,20062,Nike
589,2021-02-28,bw_volume,7804,Nike
590,2021-02-27,bw_volume,5270,Nike
591,2021-02-26,bw_volume,3983,Nike
592,2021-02-25,bw_volume,5986,Nike
593,2021-02-24,bw_volume,5802,Nike
